Type,Occupation,All_workers,All_weekly,M_workers,M_weekly,F_workers,F_weekly
MANAGEMENT,Chief executives,1046,2041,763,2251,283,1836
MANAGEMENT,General and operations managers,823,1260,621,1347,202,1002
MANAGEMENT,Marketing and sales managers,948,1462,570,1603,378,1258
MANAGEMENT,Administrative services managers,170,1191,96,1451,73,981
MANAGEMENT,Computer and information systems managers,636,1728,466,1817,169,1563
MANAGEMENT,Financial managers,1124,1408,551,1732,573,1130
MANAGEMENT,Human resources managers,254,1365,68,1495,186,1274
MANAGEMENT,Purchasing managers,193,1348,109,1404,84,1226
MANAGEMENT,"Transportation, storage, and distribution managers",276,966,224,1006,52,749
MANAGEMENT,Education administrators,778,1423,282,1585,496,1252
MANAGEMENT,Food service managers,763,742,389,820,374,680
MANAGEMENT,Lodging managers,123,985,54,1171,68,902
MANAGEMENT,Medical and health services managers,592,1210,154,1422,438,1156
MANAGEMENT,"Property, real estate, and community association managers",401,914,171,1137,230,823
MANAGEMENT,Social and community service managers,305,1022,105,1142,200,965
MANAGEMENT,"Managers, all other",2803,1408,1717,1525,1085,1213
BUSINESS,"Wholesale and retail buyers, except farm products",142,926,73,886,69,985
BUSINESS,"Purchasing agents, except wholesale, retail, and farm products",260,1009,136,1020,124,986
BUSINESS,"Claims adjusters, appraisers, examiners, and investigators",317,963,141,1134,176,824
BUSINESS,Compliance officers,235,1198,126,1375,109,1025
BUSINESS,Human resources workers,592,1002,151,1158,441,984
BUSINESS,Management analysts,529,1431,291,1519,237,1348
BUSINESS,Market research analysts and marketing specialists,203,1284,85,1411,118,1239
BUSINESS,"Business operations specialists, all other",186,1090,74,1461,112,969
BUSINESS,Accountants and auditors,1464,1132,618,1345,846,988
BUSINESS,Financial analysts,295,1426,168,1680,127,1171
BUSINESS,Personal financial advisors,407,1419,248,1738,159,1033
BUSINESS,Credit counselors and loan officers,313,997,146,1186,166,906
COMPUTATIONAL,Computer systems analysts,499,1389,325,1462,173,1256
COMPUTATIONAL,Computer programmers,450,1438,357,1501,93,1302
COMPUTATIONAL,"Software developers, applications and systems software",1287,1682,1054,1751,232,1415
COMPUTATIONAL,Web developers,151,1165,98,1233,53,1026
COMPUTATIONAL,Computer support specialists,396,1079,291,1135,105,908
COMPUTATIONAL,"Computer occupations, all other",490,1227,374,1252,116,1145
COMPUTATIONAL,Operations research analysts,122,1441,59,1574,63,1325
ENGINEERING,"Engineers, all other",393,1527,339,1537,54,1448
ENGINEERING,"Engineering technicians, except drafters",352,963,284,984,68,827
SCIENCE,Medical scientists,151,1250,68,1362,84,1082
SCIENCE,"Physical scientists, all other",189,1553,121,1770,68,1170
SCIENCE,"Miscellaneous life, physical, and social science technicians",157,846,79,1001,78,780
SOCIAL SERVICE,Counselors,635,904,184,908,451,902
SOCIAL SERVICE,Social workers,677,877,127,943,549,862
SOCIAL SERVICE,Clergy,376,1002,316,1021,60,924
LEGAL,Lawyers,803,1886,503,1914,300,1717
EDUCATION,Postsecondary teachers,917,1258,516,1405,401,1144
EDUCATION,Elementary and middle school teachers,2806,974,543,1077,2262,957
EDUCATION,Secondary school teachers,1048,1066,438,1149,610,1006
EDUCATION,Other teachers and instructors,378,896,179,1024,199,817
ARTS,Designers,593,993,301,1099,291,918
ARTS,Producers and directors,120,1270,67,1340,53,1234
ARTS,Editors,108,1148,58,1205,50,1125
HEALTHCARE,Pharmacists,206,1920,98,2117,108,1811
HEALTHCARE,Physicians and surgeons,740,1824,457,1915,283,1533
HEALTHCARE,Physical therapists,178,1265,56,1347,123,1215
